parameter,label,factor,b,F,G,H,S,a_hat,a_H_dim,tau_mode_H,tau_mean_H,omega_0_dim,T_0,N_star,P_star,G_4,ell_1,a_H_ratio,tau_ratio,omega_ratio,P_star_ratio
K,$K$,1.064,0.21310109700800708,0.9545879224539839,-0.42620219401601417,-2.0,-0.0,2.6267974818577113,0.4064785227351078,2.4601545815292085,4.920309163058417,0.052989281682617496,118.57464580880911,20.0,1.4328263418268457,-2.0134705333083422,-2.9399386143966146,1.1505480981495568,0.8691509738778539,1.010704767914942,1.0063238691666723
K,$K$,1.068,0.21230296555853892,0.9549274508150498,-0.42460593111707784,-2.0,-0.0,2.648897749203278,0.4098983844049628,2.439629035014788,4.879258070029576,0.05301952903262335,118.50699962486446,20.0,1.433335970293841,-2.0144873562645564,-2.9397452472525507,1.1602281061207294,0.8618994788391581,1.0112816985676505,1.0066817989979249
K,$K$,1.072,0.21151079031391748,0.955263185580782,-0.42302158062783496,-2.0,-0.0,2.6710713696386117,0.4133295969519877,2.4193767089854923,4.838753417970985,0.053049279057805175,118.44054092296165,20.0,1.4338399046144967,-2.015472891145793,-2.9395340250970508,1.1699402430468395,0.854744510194581,1.011849143366713,1.0070357296317807
K,$K$,1.076,0.2107245048480665,0.9555951830565372,-0.421449009696133,-2.0,-0.0,2.6933184403586523,0.4167721754164189,2.3993924234525674,4.798784846905135,0.053078542164822745,118.37524262947264,20.0,1.4343382293025562,-2.0164280431498796,-2.9393057152192776,1.1796845514996706,0.8476842378996595,1.012407300806246,1.0073857204251868
K,$K$,1.08,0.20994404371899958,0.9559234985069148,-0.41988808743799916,-2.0,-0.0,2.7156390570251823,0.42022613460124775,2.379671128614833,4.759342257229666,0.0531073284992657,118.3110784280264,20.0,1.434831027309596,-2.0173536894255943,-2.9390610560188604,1.1894610733794766,0.8407168779040554,1.0129563644007773,1.0077318296379263
K,$K$,1.084,0.20916934245066376,0.956248186178757,-0.41833868490132753,-2.0,-0.0,2.738033313790983,0.4236914890759581,2.3602079007556442,4.7204158015112885,0.053135647953229316,118.24802273438215,20.0,1.435318380059551,-2.0182506800119557,-2.938800758127477,1.1992698499255632,0.8338406907019872,1.0134965228297443,1.0080741144568657
K,$K$,1.088,0.20840033751518341,0.9565692993235576,-0.41680067503036683,-2.0,-0.0,2.7605013033236494,0.42716825318021145,2.3409979382951134,4.681995876590227,0.053163510172640906,118.186050672272,20.0,1.4358003674823487,-2.019119838744024,-2.9385255054843733,1.2091109217267175,0.827053979937516,1.0140279600772362,1.0084126310195785
K,$K$,1.092,0.2076369663154941,0.9568868902192984,-0.4152739326309882,-2.0,-0.0,2.783043116829272,0.43065644102751205,2.3220365579905864,4.644073115981173,0.05319092456434831,118.12513805016555,20.0,1.4362770680466843,-2.0199619641263715,-2.938235956367576,1.2189843287315827,0.8203550910622063,1.0145508555671983,1.0087474344373635
K,$K$,1.096,0.20687916716835725,0.9572010101917269,-0.4137583343367145,-2.0,-0.0,2.8056588440758587,0.4341560665088306,2.30331919127902,4.60663838255804,0.05321790030297791,118.06526133891829,20.0,1.4367485587919606,-2.02077783017547,-2.9379327443828607,1.2288901102589151,0.8137424100429206,1.015065384294239,1.0090785788176782
K,$K$,1.1,0.20612687928774504,0.9575117096350954,-0.41225375857549007,-2.0,-0.0,2.8283485734165184,0.4376671432961923,2.284841380755072,4.569682761510144,0.0532444463375706,118.00639765026564,20.0,1.4372149153594151,-2.0215681872321483,-2.9376164794123163,1.2388283050077398,0.8072143621175594,1.0155717169502045,1.0094061172859992
K,$K$,1.104,0.20538004276858654,0.9578190380323736,-0.4107600855371731,-2.0,-0.0,2.8511123918123897,0.4411896848462246,2.266598776779079,4.533197553558158,0.05327057139800371,117.94852471612583,20.0,1.4376762120224609,-2.0223337627452316,-2.937287748524251,1.2487989510673931,0.8007694105966892,1.0160700200466677,1.009730102007133
K,$K$,1.108,0.20463859857086603,0.958123043974952,-0.40927719714173205,-2.0,-0.0,2.8739503848553127,0.44472370440366565,2.2485871342093398,4.4971742684186795,0.05329628400120653,117.8916208686772,20.0,1.4381325217162586,-2.023075262027444,-2.9369471168461363,1.2588020859274527,0.7944060557090878,1.016560456033482,1.0100505842059844
K,$K$,1.112,0.2039024885040643,0.95842377518185,-0.4078049770081286,-2.0,-0.0,2.8968626367902353,0.44826921500483136,2.2308023092534297,4.461604618506859,0.05332159245717683,117.83566502117661,20.0,1.4385839160665508,-2.023793368984583,-2.936595128402156,1.2688377464875524,0.788122833489341,1.017043183413539,1.010367614187808
K,$K$,1.116,0.2031716552119351,0.9587212785184426,-0.4063433104238702,-2.0,-0.0,2.919849230537332,0.45182622948103834,2.2132402564335116,4.426480512867023,0.05334650487480519,117.7806366494883,20.0,1.4390304654177677,-2.024488746818989,-2.936232306916947,1.2789059690670697,0.7819183147057132,1.01751835685386,1.010681241357949
