key,label,normalized_time,n,p,q,r
theta_2,$1-n^2$,1.7600000000000422,0.49991799773968715,0.24419820793589772,0.4123647602163081,0.45137871581010663
theta_2,$1-n^2$,1.761666666666705,0.5018014198313162,0.2435878476114095,0.4137023834891126,0.45303984857981977
theta_2,$1-n^2$,1.7633333333333676,0.5036869986864273,0.24298840413417724,0.4150509932896239,0.45470848018690696
theta_2,$1-n^2$,1.7650000000000303,0.505574479947433,0.2423998805742752,0.4164104694549926,0.4563844270227124
theta_2,$1-n^2$,1.766666666666693,0.5074636073923958,0.2418222798657308,0.4177806896527041,0.4580675030720859
theta_2,$1-n^2$,1.7683333333333557,0.5093541230028149,0.24125560482105804,0.419161529371541,0.45975751993266306
theta_2,$1-n^2$,1.7700000000000184,0.5112457670333433,0.24069985814547298,0.42055286191354413,0.461454286835802
theta_2,$1-n^2$,1.7716666666666812,0.5131382780833689,0.24015504245071845,0.4219545583873658,0.46315761066919986
theta_2,$1-n^2$,1.7733333333333439,0.5150313931703927,0.23962116026842428,0.42336648770340957,0.4648672960012134
theta_2,$1-n^2$,1.7750000000000066,0.5169248478051371,0.23909821406293044,0.4247885165711516,0.46658314510690785
theta_2,$1-n^2$,1.7766666666666693,0.5188183760683162,0.23858620624349913,0.4262205094990368,0.4683049579958568
theta_2,$1-n^2$,1.778333333333332,0.5207117106890016,0.23808513917584326,0.4276623287973452,0.47003253244171833
theta_2,$1-n^2$,1.7799999999999947,0.5226045831245166,0.2375950151928977,0.42911383458442265,0.4717656640136101
theta_2,$1-n^2$,1.7816666666666574,0.5244967236422825,0.23711583660622215,0.4305748847889788,0.4735041461092947
theta_2,$1-n^2$,1.7833333333333201,0.5263878614065857,0.23664760572766264,0.4320453351009515,0.4752477699871032
theta_2,$1-n^2$,1.7849999999999828,0.5282777245599516,0.23619032487036362,0.43352503902832346,0.4769963248016866
theta_2,$1-n^2$,1.7866666666666455,0.5301660403108016,0.23574399636313575,0.4350138478783497,0.4787495976459782
theta_2,$1-n^2$,1.7883333333333082,0.5320525350210331,0.23530862256111762,0.43651161076416645,0.48050737358895146
theta_2,$1-n^2$,1.789999999999971,0.533936934294498,0.23488420585502126,0.438018174618051,0.4822694357154106
theta_2,$1-n^2$,1.7916666666666337,0.5358189630669098,0.23447074868071505,0.43953338420172794,0.48403556516815166
theta_2,$1-n^2$,1.7933333333332964,0.5376983456970353,0.2340682535289919,0.4410570821147242,0.485805541192295
theta_2,$1-n^2$,1.794999999999959,0.5395748060590321,0.2336767229553719,0.4425891088017731,0.4875791411815905
theta_2,$1-n^2$,1.7966666666666218,0.5414480676357888,0.23329615958978733,0.44412930256026995,0.4893561407264963
